id,brand,model,reference_number,market_price,case_size,thickness,complications,factory,version,movement,dealer_price,rating,notes,image_url
BRT-AVG-43,Breitling,Avenger,43mm,3450,43,12.2,Date,OXF,,A2824,,3.5,,https://www.listerhorsfall.co.uk/wp-content/uploads/2020/01/A17318101B1X1.jpg
BRT-AVG-GMT43,Breitling,Avenger,43mm GMT,3450,43,12.2,"Date, GMT",OXF,,A2836,,3.5,,https://www.amayajoyeros.com/wp-content/uploads/2020/05/Breitling-A3239011-BC35-700x700.png
BRT-SO-HER,Breitling,SuperOcean,Heritage,3850,42,14.35,Date,BLSF,,A2824,,4.5,,https://content.thewosgroup.com/productimage/17531358/17531358_1.jpg?impolicy=zoom
BRT-SO-HER2,Breitling,SuperOcean,Heritage II,3850,42,14.35,Date,OMF,,A2824,,4.0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%2Fid%2FOIP.IaLuznFCSNcOgXuQKCv3TQHaJ4%3Fpid%3DApi&f=1&ipt=1a491d79dd2d0dee00b7e62263b7fb29c7d2fc1ca535a6bb92f06b120d633023
BRT-NAV-41,Breitling,Navitimer,41mm,4700,41,10.0,Date,V7F,,A2824,,4.2,Upgradeable to SW200,https://content.thewosgroup.com/productimage/17531689/17531689_1.jpg
BRT-NAV-41,Breitling,Navitimer,41mm,4700,41,10.0,Date,TF,,A2824,,4.2,,https://img.chrono24.com/images/uhren/36464325-kn369pd6cmx94ldjnjm9x8va-Square280.jpg
BRT-NAV-41GMT,Breitling,Navitimer,41mm GMT,4700,41,10.0,"Date, GMT",BLSF,,A2836 GMT,,3.5,,https://img.chrono24.com/images/uhren/36464325-kn369pd6cmx94ldjnjm9x8va-Square280.jpg
BRT-TRANS-DD,Breitling,Transocean,Breitling Transocean Day Date Blue,4350,43,12.8,"Date, Day",V7F,,A2824,,4.5,,https://img.chrono24.com/images/uhren/41635377-cxuojdl8pb3rh8x10u9t91qy-Square280.jpg
BVL-OCTO-FIN,Bvlgari,Octo,Finissimo,9500,40,6.4,Small Seconds,BVF,,A23J,,4.0,,https://content.thewosgroup.com/productimage/18970153/18970153_1.jpg?impolicy=zoom
CAR-TANK-LOUIS,Cartier,Tank,Louis,12000,33,6.6,Quartz,DRF,,Quartz,,3.5,,https://a.1stdibscdn.com/cartier-tank-louis-yellow-gold-brown-strap-mens-watch-w1529756-for-sale/22569652/j_201819421692949725690/j_20181942_1692949725918_bg_processed.jpg?disable=upscale&auto=webp&quality=60&width=960
CAR-TANK-SOLOSM,Cartier,Tank,Solo Small,,31  24.4,5.55,Quartz,AF,,Quartz,,5.0,,https://img.chrono24.com/images/uhren/42143887-6tlx5nvtx6vbqrttp0x9jdhu-Square280.jpg
CAR-TANK-SOLOSM,Cartier,Tank,Solo Small,,31  24.4,5.55,Quartz,K11F,,Quartz,,4.9,,https://img.chrono24.com/images/uhren/42143887-6tlx5nvtx6vbqrttp0x9jdhu-Square280.jpg
CAR-TANK-SOLOLG,Cartier,Tank,Solo Large,,34.8  27.4,5.55,Quartz,AF,,MY9015,,5.0,,https://img.chrono24.com/images/uhren/40212434-73oj4i8abfehft6044yuz1az-Square280.jpg
CAR-TANK-SOLOLG,Cartier,Tank,Solo Large,,34.8  27.4,5.55,Quartz,F1F,,MY9015,,3.5,,https://img.chrono24.com/images/uhren/40212434-73oj4i8abfehft6044yuz1az-Square280.jpg
CAR-TANK-SOLOLG,Cartier,Tank,Solo Large,,34.8  27.4,5.55,Quartz,TWF,,MY9015,,3.4,,https://img.chrono24.com/images/uhren/40212434-73oj4i8abfehft6044yuz1az-Square280.jpg
