name,website,contact,notes
JTime,"https://jtime.io",WhatsApp,"Known for great customer service and quality control."
Puretime,"https://puretimewatch.io",Email,"One of the oldest and most established dealers."
Geektime,"https://geektime.watch",WhatsApp,"Very responsive and fast shipping."
